# 合肥地铁站点完整坐标数据
# 生成时间: 2026-04-11 09:44:42
# 格式: 线路名:\n# 站点名,经度(x),纬度(y)
# 成功获取: 183/183 个唯一站点

1号线:
张洼,117.322349,31.918001
兴华苑,117.313651,31.903499
瑶海公园,117.314410,31.890064
合肥火车站,117.315587,31.883376
长淮,117.309132,31.875623
明光路,117.304588,31.869977
大东门,117.300758,31.863909
包公园,117.301360,31.856274
合工大南区,117.300710,31.847196
朱岗,117.301739,31.832155
秋浦河路,117.301989,31.823177
葛大店,117.303172,31.814564
望湖城,117.292040,31.805361
合肥南站,117.290051,31.800004
南站南广场,117.291576,31.792570
骆岗,117.291451,31.783406
高王,117.291420,31.773139
滨湖会展中心,117.302190,31.754759
紫庐,117.302627,31.740745
塘西河公园,117.302601,31.731507
金斗公园,117.302630,31.723036
云谷路,117.302214,31.713194
万达城,117.302177,31.705865
万年埠,117.302102,31.698436
丙子铺,117.297393,31.691450
九联圩,117.286181,31.691457
# 本线路成功: 26/26

2号线:
南岗,117.117216,31.850403
桂庄,117.126784,31.850724
汽车西站,117.136345,31.850854
振兴路,117.151872,31.851071
蜀山西,117.168011,31.851358
大蜀山,117.186048,31.852079
天柱路,117.198511,31.854188
科学大道,117.208841,31.855940
十里庙,117.223213,31.854899
西七里塘,117.230892,31.852496
五里墩,117.241144,31.851099
三里庵,117.257219,31.855179
安农大,117.265503,31.858171
三孝口,117.275340,31.861092
四牌楼,117.289704,31.861668
大东门,117.300758,31.863909
三里街,117.313994,31.867598
东五里井,117.324534,31.867763
东七里,117.339790,31.867197
漕冲,117.351760,31.868068
东二十埠,117.367157,31.868250
龙岗,117.376461,31.868407
王岗,117.389813,31.868729
三十埠,117.397380,31.868958
三十埠东,117.419787,31.871942
祥和,117.428666,31.874003
桂王,117.441427,31.874850
对河,117.456520,31.872681
店埠河,117.471814,31.875137
排头,117.480548,31.871727
肥东站,117.485937,31.859451
和睦湖,117.492014,31.853023
马桥,117.491958,31.843578
南沙河,117.491867,31.832586
撮镇,117.491874,31.822200
# 本线路成功: 35/35

3号线:
省儿童医院新区,117.175866,31.685539
乐平,117.176231,31.695427
芮祠,117.165903,31.701359
四十埠,117.156572,31.710191
李湾,117.156570,31.718865
凉亭,117.162791,31.723900
安医一附院南区,117.168994,31.742272
幸福坝,117.180698,31.751017
安大磬苑校区,117.192297,31.759387
